city,date,trend
Budapest,2021-05-31,25.6
Budapest,2021-06-30,34.0
Budapest,2021-07-31,32.75
Budapest,2021-08-31,34.4
Budapest,2021-09-30,32.25
Budapest,2021-10-31,34.8
Budapest,2021-11-30,32.25
Budapest,2021-12-31,29.25
Budapest,2022-01-31,33.2
Budapest,2022-02-28,39.0
Budapest,2022-03-31,37.25
Budapest,2022-04-30,38.75
Budapest,2022-05-31,39.2
Budapest,2022-06-30,41.75
Budapest,2022-07-31,43.6
Budapest,2022-08-31,44.75
Budapest,2022-09-30,41.0
Budapest,2022-10-31,38.4
Budapest,2022-11-30,36.0
Budapest,2022-12-31,37.5
Budapest,2023-01-31,39.6
Budapest,2023-02-28,37.25
Budapest,2023-03-31,38.75
Budapest,2023-04-30,41.8
Budapest,2023-05-31,44.0
Budapest,2023-06-30,41.0
Budapest,2023-07-31,48.8
Budapest,2023-08-31,65.25
Budapest,2023-09-30,41.75
Budapest,2023-10-31,42.8
Budapest,2023-11-30,41.5
Budapest,2023-12-31,41.8
Budapest,2024-01-31,40.0
Budapest,2024-02-29,41.0
Budapest,2024-03-31,41.6
Budapest,2024-04-30,42.25
Budapest,2024-05-31,41.75
Budapest,2024-06-30,44.0
Budapest,2024-07-31,45.75
Budapest,2024-08-31,47.0
Budapest,2024-09-30,46.4
Budapest,2024-10-31,42.5
Budapest,2024-11-30,42.5
Budapest,2024-12-31,45.0
Budapest,2025-01-31,40.75
Budapest,2025-02-28,39.75
Budapest,2025-03-31,40.2
Budapest,2025-04-30,40.25
Budapest,2025-05-31,40.0
Budapest,2025-06-30,42.4
Budapest,2025-07-31,49.0
Budapest,2025-08-31,66.0
Budapest,2025-09-30,60.25
Budapest,2025-10-31,57.25
Budapest,2025-11-30,60.0
Budapest,2025-12-31,53.5
Lisbon,2021-04-30,11.25
Lisbon,2021-05-31,15.6
Lisbon,2021-06-30,15.0
Lisbon,2021-07-31,14.75
Lisbon,2021-08-31,18.4
Lisbon,2021-09-30,22.0
Lisbon,2021-10-31,22.2
Lisbon,2021-11-30,19.75
Lisbon,2021-12-31,17.0
Lisbon,2022-01-31,19.8
Lisbon,2022-02-28,26.25
Lisbon,2022-03-31,29.5
Lisbon,2022-04-30,30.25
Lisbon,2022-05-31,30.2
Lisbon,2022-06-30,31.0
Lisbon,2022-07-31,31.0
Lisbon,2022-08-31,30.5
Lisbon,2022-09-30,32.0
Lisbon,2022-10-31,29.8
Lisbon,2022-11-30,23.5
Lisbon,2022-12-31,23.75
Lisbon,2023-01-31,28.0
Lisbon,2023-02-28,31.25
Lisbon,2023-03-31,34.25
Lisbon,2023-04-30,33.2
Lisbon,2023-05-31,32.0
Lisbon,2023-06-30,32.25
Lisbon,2023-07-31,34.2
Lisbon,2023-08-31,34.0
Lisbon,2023-09-30,34.25
Lisbon,2023-10-31,32.8
Lisbon,2023-11-30,26.0
Lisbon,2023-12-31,25.8
Lisbon,2024-01-31,31.0
Lisbon,2024-02-29,34.0
Lisbon,2024-03-31,36.8
Lisbon,2024-04-30,35.5
Lisbon,2024-05-31,38.0
Lisbon,2024-06-30,34.8
Lisbon,2024-07-31,35.25
Lisbon,2024-08-31,37.5
Lisbon,2024-09-30,37.6
Lisbon,2024-10-31,33.5
Lisbon,2024-11-30,32.75
Lisbon,2024-12-31,29.0
Lisbon,2025-01-31,32.75
Lisbon,2025-02-28,34.25
Lisbon,2025-03-31,36.8
Lisbon,2025-04-30,37.0
Lisbon,2025-05-31,37.25
Lisbon,2025-06-30,37.2
Lisbon,2025-07-31,40.0
Lisbon,2025-08-31,71.4
Lisbon,2025-09-30,61.25
Lisbon,2025-10-31,52.0
Lisbon,2025-11-30,48.0
Lisbon,2025-12-31,39.25
Paris,2021-04-30,27.25
Paris,2021-05-31,30.4
Paris,2021-06-30,33.0
Paris,2021-07-31,33.25
Paris,2021-08-31,34.6
Paris,2021-09-30,39.5
Paris,2021-10-31,40.2
Paris,2021-11-30,38.5
Paris,2021-12-31,38.5
Paris,2022-01-31,36.2
Paris,2022-02-28,38.5
Paris,2022-03-31,39.75
Paris,2022-04-30,40.25
Paris,2022-05-31,39.0
Paris,2022-06-30,39.25
Paris,2022-07-31,37.8
Paris,2022-08-31,36.75
Paris,2022-09-30,39.5
Paris,2022-10-31,40.8
Paris,2022-11-30,36.25
Paris,2022-12-31,42.75
Paris,2023-01-31,42.2
Paris,2023-02-28,39.0
Paris,2023-03-31,40.75
Paris,2023-04-30,39.2
Paris,2023-05-31,36.75
Paris,2023-06-30,38.75
Paris,2023-07-31,37.2
Paris,2023-08-31,35.0
Paris,2023-09-30,38.0
Paris,2023-10-31,40.0
Paris,2023-11-30,38.25
Paris,2023-12-31,38.4
Paris,2024-01-31,37.5
Paris,2024-02-29,38.5
Paris,2024-03-31,39.8
Paris,2024-04-30,40.5
Paris,2024-05-31,39.5
Paris,2024-06-30,40.4
Paris,2024-07-31,65.0
Paris,2024-08-31,58.25
Paris,2024-09-30,42.8
Paris,2024-10-31,42.25
Paris,2024-11-30,38.25
Paris,2024-12-31,40.0
Paris,2025-01-31,39.75
Paris,2025-02-28,36.75
Paris,2025-03-31,38.4
Paris,2025-04-30,41.5
Paris,2025-05-31,40.5
Paris,2025-06-30,41.6
Paris,2025-07-31,40.0
Paris,2025-08-31,47.4
Paris,2025-09-30,49.75
Paris,2025-10-31,47.5
Paris,2025-11-30,45.2
Paris,2025-12-31,45.5
Prague,2021-04-30,20.75
Prague,2021-05-31,19.2
Prague,2021-06-30,17.0
Prague,2021-07-31,22.5
Prague,2021-08-31,26.6
Prague,2021-09-30,27.75
Prague,2021-10-31,31.6
Prague,2021-11-30,28.75
Prague,2021-12-31,23.5
Prague,2022-01-31,22.6
Prague,2022-02-28,30.75
Prague,2022-03-31,30.0
Prague,2022-04-30,34.25
Prague,2022-05-31,32.6
Prague,2022-06-30,33.75
Prague,2022-07-31,36.4
Prague,2022-08-31,37.5
Prague,2022-09-30,33.25
Prague,2022-10-31,36.0
Prague,2022-11-30,32.0
Prague,2022-12-31,33.25
Prague,2023-01-31,32.0
Prague,2023-02-28,32.25
Prague,2023-03-31,33.0
Prague,2023-04-30,36.2
Prague,2023-05-31,35.5
Prague,2023-06-30,35.75
Prague,2023-07-31,39.6
Prague,2023-08-31,42.5
Prague,2023-09-30,38.5
Prague,2023-10-31,39.8
Prague,2023-11-30,39.0
Prague,2023-12-31,52.4
Prague,2024-01-31,34.0
Prague,2024-02-29,41.0
Prague,2024-03-31,47.2
Prague,2024-04-30,40.25
Prague,2024-05-31,42.25
Prague,2024-06-30,40.4
Prague,2024-07-31,43.75
Prague,2024-08-31,49.75
Prague,2024-09-30,48.0
Prague,2024-10-31,46.25
Prague,2024-11-30,47.75
Prague,2024-12-31,45.6
Prague,2025-01-31,38.75
Prague,2025-02-28,39.25
Prague,2025-03-31,40.4
Prague,2025-04-30,43.5
Prague,2025-05-31,41.75
Prague,2025-06-30,44.6
Prague,2025-07-31,52.25
Prague,2025-08-31,79.4
Prague,2025-09-30,80.25
Prague,2025-10-31,72.25
Prague,2025-11-30,75.4
Prague,2025-12-31,63.5
Rome,2021-04-30,21.0
Rome,2021-05-31,32.8
Rome,2021-06-30,22.25
Rome,2021-07-31,25.75
Rome,2021-08-31,24.4
Rome,2021-09-30,26.25
Rome,2021-10-31,28.0
Rome,2021-11-30,24.75
Rome,2021-12-31,22.5
Rome,2022-01-31,26.6
Rome,2022-02-28,30.25
Rome,2022-03-31,33.0
Rome,2022-04-30,36.25
Rome,2022-05-31,44.8
Rome,2022-06-30,33.0
Rome,2022-07-31,33.8
Rome,2022-08-31,34.0
Rome,2022-09-30,34.0
Rome,2022-10-31,31.6
Rome,2022-11-30,28.0
Rome,2022-12-31,27.25
Rome,2023-01-31,32.8
Rome,2023-02-28,34.0
Rome,2023-03-31,35.5
Rome,2023-04-30,37.2
Rome,2023-05-31,56.5
Rome,2023-06-30,35.5
Rome,2023-07-31,37.2
Rome,2023-08-31,35.0
Rome,2023-09-30,38.0
Rome,2023-10-31,34.0
Rome,2023-11-30,30.5
Rome,2023-12-31,29.4
Rome,2024-01-31,34.5
Rome,2024-02-29,38.25
Rome,2024-03-31,40.4
Rome,2024-04-30,42.5
Rome,2024-05-31,64.0
Rome,2024-06-30,39.6
Rome,2024-07-31,39.5
Rome,2024-08-31,38.5
Rome,2024-09-30,41.6
Rome,2024-10-31,37.75
Rome,2024-11-30,35.25
Rome,2024-12-31,35.8
Rome,2025-01-31,38.25
Rome,2025-02-28,40.0
Rome,2025-03-31,39.8
Rome,2025-04-30,46.25
Rome,2025-05-31,66.25
Rome,2025-06-30,41.8
Rome,2025-07-31,43.25
Rome,2025-08-31,57.4
Rome,2025-09-30,58.5
Rome,2025-10-31,50.25
Rome,2025-11-30,47.6
Rome,2025-12-31,44.75
Vienna,2021-04-30,15.5
Vienna,2021-05-31,16.2
Vienna,2021-06-30,17.25
Vienna,2021-07-31,20.0
Vienna,2021-08-31,21.0
Vienna,2021-09-30,23.25
Vienna,2021-10-31,32.6
Vienna,2021-11-30,21.5
Vienna,2021-12-31,21.25
Vienna,2022-01-31,20.2
Vienna,2022-02-28,22.25
Vienna,2022-03-31,23.75
Vienna,2022-04-30,27.25
Vienna,2022-05-31,26.6
Vienna,2022-06-30,27.0
Vienna,2022-07-31,30.0
Vienna,2022-08-31,29.25
Vienna,2022-09-30,27.75
Vienna,2022-10-31,32.2
Vienna,2022-11-30,28.0
Vienna,2022-12-31,30.75
Vienna,2023-01-31,29.2
Vienna,2023-02-28,27.5
Vienna,2023-03-31,27.5
Vienna,2023-04-30,29.6
Vienna,2023-05-31,28.25
Vienna,2023-06-30,29.75
Vienna,2023-07-31,32.0
Vienna,2023-08-31,34.0
Vienna,2023-09-30,31.5
Vienna,2023-10-31,40.2
Vienna,2023-11-30,33.0
Vienna,2023-12-31,34.8
